AppName
windowscalculator
3dbuilder
windowsalarms
windowscommunicationsapps
windowscamera
zunemusic
windowsmaps
zunevideo
onenote
people
windowsstore
soundrecorder
skypeapp
twitter
windowsphone
bingfinance
bingnews
people
bingweather
bingsports
xboxapp
candycrush
minecraft
adobe
mirror
